gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000159128	10515.185687857249	2.4940850306183835	0.15396547633543797	16.198988825161216	5.126307450728886e-59	1.9565406770281912e-57
ENSG00000142168	6492.721127299266	2.983674697094969	0.2253846418251215	13.238145567212323	5.283738390618713e-40	1.7285372735024077e-38
ENSG00000160307	4686.024297530745	3.3559552604517546	0.28778474521697933	11.661338261419955	2.0086029528960674e-31	5.749625952664993e-30
ENSG00000159197	1664.6185589929412	2.236928328351868	0.2030057052646266	11.019041683759264	3.093347191385613e-28	7.870850075858948e-27
ENSG00000160284	7003.569169509477	3.4482840850111156	0.5556403814398296	6.205963785561418	5.436269691628781e-10	1.2449057593829907e-8
ENSG00000183421	2747.7816625158457	-0.6381926317736925	0.17974649124003866	-3.55051510252532	3.8447807563176404e-4	0.008004134483606724
ENSG00000166265	1156.479893998024	-0.6763891086322678	0.20809440527546358	-3.2503954526643914	0.0011524463307125603	0.021992517477764692
ENSG00000156256	5807.109779284913	-0.44727936660347695	0.14606360279378752	-3.062223292102041	0.002196994969834093	0.03870091139169288
ENSG00000272804	578.3297790544812	-1.050667446343199	0.35753066185996174	-2.9386778769612953	0.003296154554705429	0.053915670930538805
ENSG00000154736	2764.2457289739455	-0.6524308083276134	0.22762004908480343	-2.866315207956659	0.004152805288710135	0.06339949407430806
ENSG00000184900	2641.215538673986	0.5374577783656977	0.19549984412211235	2.7491468383473134	0.005975061242524017	0.085518064033625
ENSG00000285815	1192.5154714624925	-0.5588511360934425	0.21465159673232143	-2.6035265732979886	0.009227011443816087	0.12429327180199316
ENSG00000275464	3626.108142950241	-0.4526469578219754	0.1779693414607698	-2.5433985095784233	0.010977994374173104	0.1396644839825356
ENSG00000154721	4215.636279475498	-0.4702992564957817	0.19211474089927308	-2.4480123404083938	0.014364673560376585	0.17313211817506516
ENSG00000184351	193.13923958701315	0.9761320867117128	0.4149882873875418	2.3521918964429473	0.018663143939433552	0.21369299810651415
ENSG00000142178	2034.1308299492055	0.5057332040115173	0.2176061509992973	2.324075866831312	0.020121428234653328	0.21941938408264822
ENSG00000156284	755.7513361264462	-0.6281330779240435	0.2784621866060804	-2.255721272535349	0.024088092476053508	0.24539401718214843
ENSG00000157542	8978.157729494164	0.40554874727159324	0.18087145504062846	2.242193203899954	0.024948888201477958	0.24539401718214843
