baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65130.94561918661	2.954998477055867	0.14443394349756333	20.459169122566532	4.9779373239194e-93	1.1399476471775427e-90	ENSG00000160191
19981.97872163543	3.2919195273803945	0.17254555343302352	19.07855323932302	3.806502502794744e-81	4.3584453656999817e-79	ENSG00000154734
9239.652343864527	2.7432909164285273	0.18007021209917468	15.234562587829043	2.0851795701283373e-52	1.5916870718646306e-50	ENSG00000183145
5643.06687349698	2.9455988901009698	0.20389354808325505	14.446748893193055	2.6280090333743126e-47	1.504535171606794e-45	ENSG00000142168
11082.825087355473	3.147173790414817	0.21883477476908356	14.381506749719023	6.760648697522234e-47	3.096377103465183e-45	ENSG00000276289
9472.89383928187	3.237060687983378	0.24145077458117584	13.406710720222092	5.523477566861529e-41	2.10812727135215e-39	ENSG00000154723
25618.562140921178	2.5713221538295654	0.22193252998434937	11.586053446112178	4.849674453458141e-31	1.5865363569170205e-29	ENSG00000180509
33652.3340282664	3.017391246403547	0.26808292963961977	11.255439689725058	2.1773747904572048e-29	6.232735337683749e-28	ENSG00000156299
2370.381074218217	1.6219823497314922	0.3207169978260068	5.057363222798185	4.2509311005151174e-7	1.0816258022421798e-05	ENSG00000275993
9043.917573105271	2.577933642360678	0.5686214104317744	4.533655601190186	5.797152423747752e-6	1.3275479050382352e-4	ENSG00000142178
291.09111848101963	-1.2961237701510249	0.32675961296536693	-3.9665972131274385	7.290604684517631e-5	0.0015177713388677611	ENSG00000222018
438.5539242360076	-1.2147051442894237	0.31719992981291517	-3.829462210177215	1.2842360138588585e-4	0.002450750393113988	ENSG00000215455
1445.4184581696722	-0.6318678316084629	0.20583680440617078	-3.069751463696549	0.0021423696964574727	0.03773866619144318	ENSG00000166351
659.9837843553936	1.0019966382602166	0.3480334012241979	2.8790243543743816	0.003989075273508395	0.06524987411667303	ENSG00000156284
3338.7200519764065	0.4562217172604238	0.1716993761064655	2.6570959522737856	0.00788170064471326	0.12032729650928911	ENSG00000157557
7386.4813659629035	0.4017319527708461	0.16009906216441655	2.509271118392189	0.012098058949763681	0.1731534687184927	ENSG00000160183
4442.879404240694	0.3736974184854669	0.1677686385854652	2.227456940917458	0.025916750517594504	0.33535020769475843	ENSG00000154721
6913.334793883305	-0.5787209490038385	0.2606344087372764	-2.2204318754673653	0.02638946529873995	0.33535020769475843	ENSG00000171587
8145.020308355016	-0.39725616849799406	0.18280382951982976	-2.1731282629114803	0.029770665074337562	0.33535020769475843	ENSG00000205581
1388.3142351453946	-0.5227642707310356	0.2416675312220286	-2.163154760954434	0.030529278425331666	0.33535020769475843	ENSG00000205929
494.570439990441	0.5516965255851388	0.25538445721469366	2.1602588176356594	0.030752639133580464	0.33535020769475843	ENSG00000276612
1277.4917437930628	-0.5350247497161488	0.2619522322852027	-2.0424515761852184	0.041106758132896846	0.4103545860723857	ENSG00000160284
8129.658241044647	0.38409293581990356	0.1881550385619771	2.041364072710632	0.04121465274962825	0.4103545860723857	ENSG00000157542
434.93758079952386	0.736557033962319	0.3976033822726277	1.8524918720567582	0.06395522363855768	0.6002334986448402	ENSG00000221859
3054.2349282788814	-0.3786343797919696	0.20559618982621	-1.8416410348461634	0.06552767452454587	0.6002334986448402	ENSG00000142149
26600.405273627046	-0.30834612344412937	0.17077145964297333	-1.8056068858858452	0.07097976632656824	0.6251679418763126	ENSG00000182670
14788.910248178752	1.6488624390286999	0.9295080238517479	1.7739087740157966	0.07607824120203865	0.6423108522392429	ENSG00000141959
8366.566343019535	-0.36462549415404316	0.20726243214100953	-1.759245466665048	0.07853582472794236	0.6423108522392429	ENSG00000160285
2285.1461184924133	-0.5260928768207563	0.30707692673482206	-1.7132282858720502	0.08667054976926278	0.6843984792124543	ENSG00000249624
4061.99670901092	-0.2714596969106156	0.16532419679326638	-1.6419840663134684	0.10059330623807189	0.7252763660463206	ENSG00000160226
5359.4939730192955	-0.42730861789650326	0.26380801714251817	-1.6197711598190605	0.10528144367241613	0.7252763660463206	ENSG00000184012
5682.486536690304	-0.27034473739312936	0.16949644909601028	-1.5949876167611874	0.11071500496124381	0.7252763660463206	ENSG00000166979
151.74624882265113	0.7927279923243948	0.49778316153792734	1.592516689144767	0.11126865621847157	0.7252763660463206	ENSG00000244025
8754.609597051096	-0.25882602346493855	0.16424260907305713	-1.575876229229953	0.11505433016659951	0.7252763660463206	ENSG00000173276
4384.202135608624	-0.3935064744353376	0.2517428358570053	-1.5631287901231745	0.11802230512536345	0.7252763660463206	ENSG00000156239
8136.822978286167	-0.2387829908469399	0.1534706644811352	-1.5558868638135819	0.11973499760449811	0.7252763660463206	ENSG00000186866
7779.935196290539	0.2719260582038969	0.176193118939761	1.5433409649605343	0.12274806920328238	0.7252763660463206	ENSG00000160201
294.41279433639335	-0.5464791806306958	0.35666885438113843	-1.5321752205667079	0.12547920158702974	0.7252763660463206	ENSG00000159197
3709.665697994933	0.27256526143061083	0.17948139704584928	1.518626809891517	0.12885645883109212	0.7252763660463206	ENSG00000142188
1102.077237250996	-0.43493386214518226	0.28752199181684546	-1.512697722344104	0.13035645840731583	0.7252763660463206	ENSG00000285815
3351.284746301396	-0.29502727809424667	0.19724620568593487	-1.4957310690376657	0.13472375052920635	0.7252763660463206	ENSG00000243646
9859.449373046456	0.2748432661723189	0.18376742173831317	1.4956038647791376	0.1347569154326555	0.7252763660463206	ENSG00000182871
803.4443380552336	0.34268610637740127	0.22999843930255254	1.48994970320913	0.13623746130925524	0.7252763660463206	ENSG00000183036
